ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,緯度,經度,給藥,衛教
177,3531133715,診所,瑞明診所,02-89663353,新北市土城區廣明街63巷2弄1號1樓,24.9936172,121.4545354,V,V
178,3531133804,診所,延和祥恩診所,02-22731129,新北市土城區延和路92號1樓,24.9894522,121.4665236,V,V
179,3531133813,診所,康城診所,02-82732660,新北市土城區中正路152號,24.9756364,121.4462421,V,V
180,3531133868,診所,同心學府診所,02-77179713,新北市土城區學府路二段351號1、2樓、353號1樓,24.9756012,121.4454779,V,V
181,5931130349,藥局,祥發藥局,02-22655056,新北市土城區青雲路255號,24.9808672,121.4592173,V,V
182,5931132601,藥局,吉城大藥局,02-22626870,新北市土城區學府路1段205號1樓,24.9885054,121.459747,V,V
183,5931133019,藥局,學府松藥局,02-82628665,新北市土城區學府路一段38號1、2樓,24.9886471,121.4580043,V,V
184,5931133206,藥局,樂利藥局,02-22630092,新北市土城區裕民路77號1樓,24.9876241,121.4498465,V,V
185,5931133797,藥局,欣?藥局,02-82617996,新北市土城區學士路423號1樓,24.9766627,121.4455807,V,V
186,1131090019,區域醫院,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456,新北市三峽區復興路399號、中山路198、258號,24.9383661,121.3630686,V,V
187,2331090014,衛生所,新北市三峽區衛生所,02-26711592,新北市三峽區光明路71號3樓,24.9284222,121.3761849,V,V
188,3531090055,診所,主恩診所,02-26714328,新北市三峽區大同路98－2號1樓,24.9277544,121.3755123,V,V
189,3531091838,診所,如原診所,02-26713119,新北市三峽區文化路264－1號1樓,24.9358206,121.3667424,V,V
190,3531092102,診所,星龍耳鼻喉科診所,02-26711676,新北市三峽區國際一街5號1樓,24.94309,121.374561,V,V
191,5931091623,藥局,兆康藥局,02-26717875,新北市三峽區中華路22號1樓,24.9328645,121.3742197,V,V
192,5931091829,藥局,有新藥局,02-26710769,新北市三峽區學勤路18號1樓,24.9454655,121.3737311,V,V
193,5931092291,藥局,桔子藥局,02-86720186,新北市三峽區大德路186號1樓,24.9453456,121.3758793,V,V
194,1531071030,地區醫院,仁愛醫院,02-26834567,新北市樹林區文化街9號,24.9871959,121.4199928,V,V
195,2331070012,衛生所,新北市樹林區衛生所,02-26812134,新北市樹林區樹新路40－7號1、2樓,24.9963198,121.428854,V,V
196,3531070820,診所,樹林泰新診所,02-26874410,新北市樹林區中山路1段30號,25.0512149,121.5134639,V,
197,3531072306,診所,安泰診所,02-26831199,新北市樹林區中山路1段123號1、2、3、4樓,24.9926446,121.4239162,V,V
198,3531072379,診所,大樹診所,02-26818919,新北市樹林區鎮前街19號、19之1號1樓、21號2樓,24.9925864,121.4260355,V,V
199,3531072468,診所,信和診所,02-26822100,新北市樹林區博愛街178號1、2樓,24.990589,121.4256496,V,V
200,3531072477,診所,信和耳鼻喉科診所,02-26822100,新北市樹林區博愛街178號1、2樓,24.990589,121.4256496,V,
201,3531072575,診所,樹林金鶯診所,02-86850096,新北市樹林區中華路124號1樓,24.9806516,121.4176074,V,V
202,3531072619,診所,欣悅親子耳鼻喉科診所,02-26686322,新北市樹林區學府路296號1樓,24.9501116,121.3789459,V,V
203,5931070044,藥局,正宜藥局,02-26805678,新北市樹林區佳園路1段39號,24.9718322,121.3927795,V,V
204,5931070053,藥局,仁一藥局,02-26893915,新北市樹林區中正路622號,25.0160249,121.4102921,V,V
205,5931071774,藥局,澤安藥師藥局,02-26872764,新北市樹林區保安二街26號1樓,24.9946937,121.4247384,V,V
206,5931072039,藥局,樹林藥師藥局,02-26823030,新北市樹林區鎮前街24號1樓,24.9931799,121.4260709,V,V
207,5931072217,藥局,協興藥局,02-86851736,新北市樹林區東華街89號1樓,24.980491,121.415907,V,V
208,2331080018,衛生所,新北市鶯歌區衛生所,02-26702304,新北市鶯歌區文化路389號,24.9504204,121.3524958,V,V
209,3531080200,診所,崇文診所,02-26783366,新北市鶯歌區國慶街141號,24.9535613,121.3509337,V,V
210,3531080433,診所,康健家庭醫學科診所,02-26788558,新北市鶯歌區建國路231號,24.95331,121.3485565,V,V
211,3531081494,診所,慈德聯合診所,02-26772600,新北市鶯歌區國慶街151號1樓,24.9533937,121.3510918,V,V
212,5931081618,藥局,美運寶中西藥局,02-86777773,新北市鶯歌區永和街56巷4號1樓,24.967859,121.3335756,V,V
213,0131020016,區域醫院,新北市立聯合醫院,02-29829111,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,25.0470319,121.4838873,V,V
214,1531021165,地區醫院,三重中興醫院,02-29959680,新北市三重區中興北街21號,25.0464905,121.4696644,V,V
215,1531021192,地區醫院,宏仁醫院,02-29788877,新北市三重區水漾路一段一五八號,25.0543988,121.4832301,V,V
216,2331020012,衛生所,新北市三重區衛生所,02-29825233,新北市三重區新北大道1段1號,25.0614534,121.4867114,V,V
217,3531020884,診所,洪文武診所,02-29765731,新北市三重區集美街162號1樓,25.0530964,121.4899512,V,V
218,3531021505,診所,重仁診所,02-29958283,新北市三重區重新路5段592號1樓,25.0453322,121.4693633,V,V
219,3531022226,診所,九如聯合診所,02-28575600,新北市三重區仁愛街753號1樓,25.0803477,121.4813886,V,V
220,3531022771,診所,佳仁診所,02-29741152,新北市三重區中正南路5號,25.0604335,121.493291,V,V
221,3531022815,診所,吳英芳診所,02-29755521,新北市三重區龍門路161號,25.0729451,121.4988253,V,V
222,3531024239,診所,簡修平診所,02-89825506,新北市三重區正義北路300號之3,25.0696489,121.4953021,V,V
223,3531024462,診所,德河聯合診所,02-89851515,新北市三重區重陽路3段115號1樓、117號1－4樓,25.0685052,121.4909068,V,
224,3531024668,診所,集美診所,02-29775177,新北市三重區集美街174－1號,25.0533028,121.4903454,V,V
225,3531025003,診所,安禾診所,02-29820632,新北市三重區田安里中華路89號1樓,25.0629112,121.4837501,V,V
226,3531025156,診所,洋基耳鼻喉科診所,02-89810900,新北市三重區正義北路288號1樓,25.0694637,121.495462,V,V
227,3531025290,診所,明安耳鼻喉科診所,02-29862228,新北市三重區正義北路54、56號1．2樓,25.0638312,121.4971934,V,V
228,3531025307,診所,詹益智耳鼻喉科診所,02-29859589,新北市三重區重陽路４段６號１樓,25.0688993,121.4905484,V,V
229,3531025389,診所,重新診所,02-29765868,新北市三重區重新路2段150號1、2樓,25.0614833,121.4956725,V,V
230,3531025469,診所,張必正診所,02-89726657,新北市三重區重新路三段66號1樓,25.0610723,121.4935826,V,V
231,3531025530,診所,李瑞相診所,02-29826632,新北市三重區中華路89號1樓,25.0629112,121.4837501,V,V
232,3531025610,診所,健福診所,02-89851660,新北市三重區溪尾街171、173號1樓,25.0802617,121.4890189,V,V
233,3531025709,診所,康新診所,02-29865982,新北市三重區正義北路185號1樓、2樓,25.0679173,121.4964592,V,
234,3531025718,診所,康歆診所,02-29865982,新北市三重區正義北路185號1樓、2樓,25.0679173,121.4964592,V,
235,3531025790,診所,康昕診所,02-29865982,新北市三重區正義北路185號1、2樓,25.0679173,121.4964592,V,V
236,3531025889,診所,宏生診所,02-29819948,新北市三重區五華街72號1樓,25.0819208,121.4932963,V,V
237,3531026260,診所,正和診所,02-29828828,新北市三重區正義北路278號1樓,25.0690833,121.4956628,V,V
238,3531026420,診所,皇嘉耳鼻喉科診所,02-28579666,新北市三重區五華街247號1樓,25.0862529,121.4891709,V,V
239,3531026680,診所,培力佳診所,02-29834012,新北市三重區自強路三段67號1樓,25.0733391,121.4870601,V,V
240,3531026797,診所,天亮診所,02-89813431,新北市三重區中正北路314號1樓,25.068996,121.479186,V,V
241,3531026859,診所,禾順診所,02-29780087,新北市三重區文化北路3號1樓,25.0633657,121.499801,V,V
242,3531026911,診所,良安診所,02-29743698,新北市三重區重新路３段３４號,25.0613095,121.4946685,V,V
243,3531026920,診所,保順皮膚科家醫科診所,02-29710719,新北市三重區正義北路５號,25.0627047,121.4978831,V,V
244,3731022971,牙科診所,威登牙醫診所,02-29813233,新北市三重區忠孝路3段32號1．2樓,25.0666146,121.481329,V,
245,5931020446,藥局,玉美藥局,02-22879836,新北市三重區力行路2段136巷49弄2號,25.075189,121.4792016,V,V
246,5931020624,藥局,新英藥師藥局,02-29824840,新北市三重區雙園街37號,25.0677943,121.4954036,V,V
247,5931024588,藥局,陽光藥師藥局,02-29788120,新北市三重區三和路2段182號1樓,25.068769,121.4987807,V,V
248,5931024711,藥局,臻燿藥局,02-29724765,新北市三重區集美街150號1樓,25.0531742,121.489793,V,V
249,5931025889,藥局,親鄰藥局,02-29760012,新北市三重區福德北路43號1樓,25.0649826,121.5024723,V,V
250,5931025905,藥局,出雲藥局,02-29842559,新北市三重區正義北路272號1樓,25.0689512,121.4957019,V,V
251,5931026359,藥局,專品先嗇宮藥局,02-85124658,新北市三重區光復路1段47號1樓,25.0614534,121.4867114,V,V
252,0131060010,地區醫院,衛生福利部樂生療養院,02-82006600,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,25.0022179,121.3636111,V,V
253,0131060029,區域醫院,衛生福利部臺北醫院,02-22765566#1205,新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓,25.0430059,121.4590085,V,V
254,2331060016,衛生所,新北市新莊區衛生所,02-29967123,新北市新莊區中華路1段2號1至4樓,25.0363397,121.4519024,V,V
255,3531060459,診所,陳桔泱診所,02-29931161,新北市新莊區中港路119號,25.0398099,121.4552373,V,V
256,3531060511,診所,德安婦產科診所,02-22010706,新北市新莊區新泰路31號1－2樓,25.032993,121.4495531,V,V
257,3531060995,診所,陳世昌婦產科診所,02-22066020,新北市新莊區後港一路98號1樓及100號1至2樓,25.0266973,121.4278283,V,V
258,3531061278,診所,聯安診所,02-29986191,新北市新莊區中正路302號1樓,25.0350846,121.4466192,V,V
259,3531061643,診所,祐幼小兒科診所,02-22030993,新北市新莊區民安西路21號1樓,25.0213789,121.4271399,V,V
260,3531061769,診所,幸福呂耳鼻喉科診所,02-29906923,新北市新莊區幸福路529號,25.0491894,121.4552573,V,V
261,3531061876,診所,新莊徐耳鼻喉科診所,02-29907505,新北市新莊區中平路373號1樓,25.0523307,121.4445749,V,V
262,3531061929,診所,林定參診所,02-22070390,新北市新莊區民安西路211號1樓,25.014899,121.4261442,V,V
263,3531061983,診所,健佑診所,02-29900713,新北市新莊區昌平街55號1樓,25.0529964,121.4545921,V,
264,3531062195,診所,林復森耳鼻喉科診所,02-22011378,新北市新莊區民安路220號,25.022547,121.42595,V,V
265,3531063389,診所,青青診所,02-29980055,新北市新莊區中平路50號1樓,25.0439872,121.444946,V,V
266,3531063594,診所,沈耳鼻喉科診所,02-29016119,新北市新莊區富國路67號1樓,25.0261645,121.4198982,V,V
267,3531064466,診所,佳泰診所,02-29945902,新北市新莊區文衡里新泰路62號,25.034837,121.4494212,V,
268,3531064617,診所,家泰耳鼻喉科診所,02-29945994,新北市新莊區新泰路70號1樓,25.034947,121.4491754,V,
269,3531065123,診所,志安診所,02-22769455,新北市新莊區幸福路521號,25.0492014,121.4554865,V,V
270,3531065221,診所,和新診所,02-22071315,新北市新莊區八德街3號1樓,25.022685,121.425618,V,V
271,3531065294,診所,晉安診所,02-29061510,新北市新莊區中正路700之24號1樓、2樓,25.0278806,121.4181655,V,V
272,3531065392,診所,合新診所,02-22071315,新北市新莊區八德街3號1樓,25.022685,121.425618,V,V
273,3531065507,診所,禾新耳鼻喉科診所,02-22071315,新北市新莊區八德街3號1樓,25.022685,121.425618,V,V
274,3531065669,診所,恩典診所,02-22072001,新北市新莊區後港一路55號1樓,25.0264786,121.4261615,V,
275,3531065794,診所,自立診所,02-89925770,新北市新莊區中港一街52號1樓,25.04556,121.450388,V,V
276,3531065927,診所,明新診所,02-22043466,新北市新莊區建安街109號1樓,25.0239651,121.4264816,V,V
277,3531065945,診所,昌明耳鼻喉科診所,02-89920100,新北市新莊區昌明街80號1樓,25.0524308,121.4550751,V,V
278,3531066004,診所,中平耳鼻喉科診所,02-29977307,新北市新莊區中平路29號1樓．31號2樓．33號2樓,25.0436916,121.4445972,V,V
279,3531066095,診所,璟順骨科診所,02-22760330,新北市新莊區復興路2段131號1樓、135號1樓,25.044525,121.4571815,V,
280,3531066139,診所,家福診所,02-29942300,新北市新莊區福壽街67號1、2樓,25.0492917,121.458181,V,
281,3531066148,診所,家慈診所,02-29942300,新北市新莊區福壽街67號1、2樓,25.0492917,121.458181,V,V
282,3531066273,診所,寶祥診所,02-29960303,新北市新莊區中平路53號1樓至2樓,25.0444226,121.4444803,V,V
283,3531066415,診所,家貞診所,02-29942300,新北市新莊區福壽街67號1、2樓,25.0492917,121.458181,V,V
284,3531066433,診所,軒禾診所,02-29066999,新北市新莊區天祥街114號1樓及夾層,25.0297467,121.4147915,V,V
285,3531066737,診所,宜新診所,02-85221606,新北市新莊區中原東路62號1樓,25.0547087,121.4635027,V,V
286,3531066988,診所,輔大診所,02-29052526,新北市新莊區中正路510號（醫學綜合大樓1樓）,25.0135671,121.4120828,V,V
287,3531067038,診所,鉅儒診所,02-22057193,新北市新莊區西盛街180號1樓,25.0188699,121.428016,V,V
288,3531067136,診所,好心情身心精神科診所,02-29965868,新北市新莊區復興路2段10號1樓,25.0438138,121.4539187,V,V
289,5931060557,藥局,一安藥局,02-29941618,新北市新莊區立德里新泰路268號,25.0402807,121.4459959,V,V
290,5931067109,藥局,揚明藥師藥局,02-29921473,新北市新莊區中港路173號1樓,25.0413188,121.4549553,V,V
291,5931069792,藥局,宏泰藥局,02-29988595,新北市新莊區自信街37號1樓,25.0483792,121.4542613,V,V
292,593106A922,藥局,德翰藥局,02-22025576,新北市新莊區四維路171巷1、3號1樓,25.0215329,121.4226047,V,V
293,593106A995,藥局,美德心藥局,02-29989025,新北市新莊區中平路367號1樓,25.0521228,121.4445924,V,V
294,593106B027,藥局,樂福藥局,02-29923388,新北市新莊區幸福路48號1樓、幸福路64巷2弄16號1樓,25.0495215,121.4577007,V,V
295,593106B385,藥局,新莊大藥局,02-29978268,新北市新莊區福壽街130號1樓,25.0514772,121.4576925,V,V
296,593106B787,藥局,微笑埔銓藥局,02-29901680,新北市新莊區中平路77號,25.0451176,121.4446885,V,V
297,593106B812,藥局,柏弘藥局,02-29985688,新北市新莊區昌平街22號1樓,25.0529342,121.45488,V,V
298,593106B992,藥局,專品幸福藥局,02-22771789,新北市新莊區幸福路４０號、４２號１樓,25.049526,121.4579745,V,V
299,1331160010,區域醫院,輔仁大學學校財團法人輔仁大學附設醫院,02-85128888,新北市泰山區貴子路69號（地下4層、地上1至9層及13層）,25.0404811,121.4314868,V,V
300,2331160011,衛生所,新北市泰山區衛生所,02-29099921,新北市泰山區全興路212號3樓,25.0562788,121.4336296,V,V
301,3531160267,診所,賴和鴻診所,02-29094502,新北市泰山區明志路2段42號1樓,25.0530976,121.4294236,V,V
302,3531161648,診所,泰安診所,02-22961869,新北市泰山區泰林路2段182號1樓,25.060857,121.433731,V,V
303,3531161666,診所,弘森診所,02-29090568,新北市泰山區明志路1段257號,25.0581641,121.4327919,V,V
304,3531161773,診所,永安診所,02-85318184,新北市泰山區仁愛路112之2號1樓,25.055585,121.4334729,V,
305,2331170017,衛生所,新北市林口區衛生所,02-26068760,新北市林口區忠孝二路55號,25.0696435,121.3640802,V,V
306,3531171733,診所,陽光內科診所,02-86019716,新北市林口區仁愛路2段113、115、117號1樓,25.074977,121.383974,V,
307,3531171957,診所,林口微笑親子耳鼻喉科診所,02-26000515,新北市林口區文化3路1段419號1樓、421號1樓,25.0621345,121.3617238,V,
308,3531172132,診所,林口微笑內科診所,02-26000531,新北市林口區文化三路一段419、421號1樓,25.0742579,121.3673902,V,
309,5931170021,藥局,士昌藥局,02-26018863,新北市林口區工六路36號1樓,25.0784693,121.3984594,V,V
310,5931171251,藥局,喜樂藥師藥局,02-26005566,新北市林口區麗林里公園路15號1樓,25.0669196,121.3665619,V,V
311,5931171680,藥局,一家好藥局,02-26028270,新北市林口區中山路500號,25.083099,121.3792272,V,V
312,5931171706,藥局,榮新藥局,02-26089789,新北市林口區忠孝路383號1樓,25.0715324,121.3696294,V,V
313,5931171742,藥局,唯恩藥局,02-26005805,新北市林口區麗園一街9巷1號1樓之2,25.0715757,121.3770112,V,V
314,2331140019,衛生所,新北市蘆洲區衛生所,02-22812011,新北市蘆洲區中央路58號,25.0841717,121.473383,V,V
315,3531140505,診所,蘆洲李耳鼻喉科診所,02-28475799,新北市蘆洲區中華街63號1樓,25.0808251,121.4624123,V,V
316,3531140747,診所,啟安婦產科家庭醫學科診所,02-22826085,新北市蘆洲區中山二路111號1樓,25.0816096,121.4723565,V,V
317,3531140943,診所,蘆洲成功耳鼻喉科診所,02-82833588,新北市蘆洲區長安街253號1－2樓,25.0833515,121.4589245,V,V
318,3531142090,診所,鴻文耳鼻喉科診所,02-82863222,新北市蘆洲區集賢路224巷14號,25.0870628,121.4820071,V,
319,3531142198,診所,詠贊聯合診所,02-82831555,新北市蘆洲區中正路85號1－4樓,25.0836978,121.4698743,V,V
320,3531142394,診所,超群耳鼻喉科診所,02-28487547,新北市蘆洲區長安街78號1樓,25.0803437,121.4623708,V,
321,3531142545,診所,長榮耳鼻喉科診所,02-22823350,新北市蘆洲區長榮路15號1樓,25.0822619,121.463395,V,V
322,3531142714,診所,上安診所,02-22825101,新北市蘆洲區長榮路381號1樓,25.0894703,121.4592901,V,V
323,3531142769,診所,乾祐診所,02-82862232,新北市蘆洲區中正路119號,25.0843042,121.4695645,V,
324,3531142938,診所,黃天一耳鼻喉科診所,02-82811100,新北市蘆洲區中山一路180號1樓,25.0811991,121.4740743,V,V
325,3531143060,診所,健群診所,02-28487669,新北市蘆洲區中華街71號1、2樓,25.0805387,121.4622444,V,V
326,3531143097,診所,建群診所,02-28487669,新北市蘆洲區中華街71號1、2樓,25.0805387,121.4622444,V,V
327,3531143275,診所,福田診所,02-82863287,新北市蘆洲區中正路140號1樓,25.085158,121.469135,V,
328,3531143480,診所,弘一診所,02-82860000,新北市蘆洲區重陽街82、86號1樓,25.0844372,121.4820066,V,
329,3531143613,診所,丁良文內科診所,02-82822809,新北市蘆洲區長安街30號1樓,25.0793442,121.463908,V,V
330,3531143622,診所,健安診所,02-22826588,新北市蘆洲區長安街265號1樓,25.0838109,121.4585862,V,V
331,3531143631,診所,建安診所,02-22826588,新北市蘆洲區長安街265號1樓,25.0838109,121.4585862,V,V
332,3731141864,牙科診所,京華牙醫診所,02-28470199,新北市蘆洲區長榮路375號,25.08907,121.4592251,V,
333,3731141908,牙科診所,豐華牙醫診所,02-28483721,新北市蘆洲區民權路114號1樓,25.0883674,121.4737474,V,V
334,3731142272,牙科診所,心安牙醫診所,02-82856311,新北市蘆洲區中山二路120號1樓、2樓,25.0817304,121.4720589,V,
335,5931141726,藥局,松展多利日式連鎖藥粧藥局,02-22882586,新北市蘆洲區民族路161號,25.088151,121.4792976,V,V
336,2331150015,衛生所,新北市五股區衛生所,02-22917717,新北市五股區新城三路11號1樓、2樓及3樓,25.0940597,121.44775,V,V
337,3531150118,診所,黃志勳診所,02-22910978,新北市五股區成泰路2段69號1樓,25.0837779,121.4378516,V,V
338,3531151517,診所,祐聖小兒科診所,02-82921335,新北市五股區五福路34號1樓,25.0892442,121.4340449,V,V
339,3531151731,診所,五股水碓診所,02-22921516,新北市五股區自強路36號1樓,25.0740947,121.4338275,V,V
340,0131230012,區域醫院,衛生福利部八里療養院,02-26101660,新北市八里區華富山33號、土城區青雲路6號1、2樓、蘆洲區,25.1443896,121.3983016,V,V
341,2331230018,衛生所,新北市八里區衛生所,02-26101902,新北市八里區舊城路16號,25.1470689,121.4000292,V,V
342,3531231207,診所,維醫耳鼻喉科診所,02-26106160,新北市八里區訊塘路68號1、2樓,25.1457882,121.397821,V,
343,1131100010,醫學中心,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,02-28094661,新北市淡水區民生路45號、民權路47號B1至10樓,25.1391203,121.4615903,V,V
344,2331100015,衛生所,新北市淡水區衛生所,02-26215620,新北市淡水區中山路158號,25.1727381,121.4409754,V,V
345,3531100047,診所,黃秋陽診所,02-26229596,新北市淡水區中山路7號,25.1696509,121.444095,V,V
346,3531100234,診所,陳世芳診所,02-26227467,新北市淡水區重建街198號,25.1743525,121.4410132,V,V
347,3531105006,診所,恩友診所,02-26268476,新北市淡水區大義街5號1樓,25.1780726,121.4436272,V,
348,5931101624,藥局,北新藥局,02-26293205,新北市淡水區北新路182巷63號,25.1772909,121.4476847,V,V
349,5931101651,藥局,天文大藥局,02-86312050,新北市淡水區新春街136號,25.1816029,121.4415351,V,V
350,2331210016,衛生所,新北市三芝區衛生所,02-26362007,新北市三芝區中山路1段12號,25.2558123,121.5024439,V,V
351,3531211081,診所,三芝彭小兒科診所,02-26369622,新北市三芝區埔頭里中山路一段59號1樓,25.2573021,121.5008227,V,V
352,2331220012,衛生所,新北市石門區衛生所,02-26381007,新北市石門區中山路28－1號,25.290217,121.5659907,V,V
