seqno,hosp_id,區域,hosp_name,tel,extension,地址,type,time,vaccine,twd97x,twd97y,wgs84ax,wgs84ay,date
57,3531019130,板牆區,大庭診所,(02)29689299,,新北市板橋區大仁街27號1樓,合約診所,"週一至週五上午8:30-12:00、下午16:00-18:00、晚上18:30-21:30
週六上午8:30-12:00、晚上18:30-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
58,3531018991,板牆區,蕭正輝小兒科診所,(02)22501101,,新北市板橋區文化路2段137號,合約診所,"週一至週五上午9:00-12:00、下午3:00-6:00、晚上6:30-9:30
週六、週日、例假日上午9:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
59,3531015810,板牆區,重慶耳鼻喉科診所,(02)89517755,,新北市板橋區和平路161巷26號,合約診所,週一至週六上午9:00-12:00、下午15:30-18:00(週日除外)、晚上6:30-9:30(周日除外),B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
60,3531016568,板牆區,王林小兒科診所,(02)29584966,,新北市板橋區忠孝路20號,合約診所,"週一至週五上午9:00-12:00、下午15:00-18:00、晚上19:00-22:00
週六上午8:30-13:00
國定假日8:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
61,3531016620,板牆區,大佳診所,(02)82597216,,新北市板橋區英士路53號,合約診所,週一至週六上午8:30-11:30、下午16:00-18:00、晚上18:30-19:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
62,3531017672,板牆區,欣幼婦產科診所,(02)29591158,,新北市板橋區四川路1段188號,合約診所,"週一、二、三、四、六上午9:00-12:00週二、四下午14:30-18:00
週五晚上19:00-22:00
◎卡介苗每月最後一週之週四早上9:00-11:30(當月遇假日則電洽)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
63,3531016862,板牆區,耀安小兒科診所,(02)29616781,,新北市板橋區漢生東路324號,合約診所,"週一至週五早、午、晚門診上午8:00-12:00、下午15:30-18:00、晚上6:30-9:30
週六早、午門診上午8:00-12:00、下午15:30-18:00
週日晚上6:30-9:30
",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
64,3531016817,板牆區,溫大慶小兒科診所,(02)22582330,,新北市板橋區新海路386號,合約診所,"週一至週日上午8:30-12:00、下午16:00-18:00、晚上18:30-21:30
(週三全日休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
65,3531017010,板牆區,陳榮泰小兒科診所,(02)26820560,,新北市板橋區金門街311號,合約診所,"週一至週五上午8:00-12:00、下午15:00-18:00
週三晚上18:30-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
66,3531012677,板牆區,雷世陽婦產科診所,(02)89535508,,新北市板橋區三民路2段110號,合約診所,"週一至週六上午9:00-12:00
◎卡介苗需預約，請電洽",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
67,3531017298,板牆區,張博揚小兒科診所,(02)22583867,,新北市板橋區仁化街85號,合約診所,週一至週日(週五休診)上午8:00-12:00、下午16:30-18:00、晚上19:00-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
68,3531017369,板牆區,安慶診所,(02)22593168,,新北市板橋區互助街77巷1號1樓,合約診所,"週一至週六上午8:30-12:00、下午15:00-18:00
晚上18:30-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
69,3531019470,板牆區,遠興婦產科診所,(02)89510099,,新北市板橋區中山路1段91號,合約診所,"週一至週六上午9:00-12:00
◎卡介苗需預約，請電洽",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
70,3531019505,板牆區,豐禾婦產科診所,(02)89510666,,新北市板橋區中山路1段279號3樓之1,合約診所,"週一至週五上午9:00-12:00、下午15:00-18:00
週六上午09:00-12:00
◎卡介苗需預約，請電洽",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
71,3531017583,板牆區,菡生婦幼診所,(02)29518999,,新北市板橋區中山路一段104號,合約診所,"週一至週五上午9:00-12:00、下午2:30-8:30
週六9:00-12:00
◎卡介苗週五9:30-12:00
（上午11:30前務必至診間報到)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
72,3531016488,板牆區,建佑診所,(02)22570688,,新北市板橋區雙十路二段164號,合約診所,"週一至週五上午8:30-12:00、下午3:00-6:00
週六上午8:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
73,3531017850,板牆區,兒林小兒科診所,(02)89523069,,新北市板橋區廣和街90號,合約診所,"週一至週六上午8:30-11:50、下午15:00-17:50、晚上19:00-21:20
週三下午休診、週六下午、晚上休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
74,3531018044,板牆區,佑恩小兒科,(02)29658386,,新北市板橋區國光路176號,合約診所,週一至週六上午8:30-12:00、下午4:00-6:00、晚上6:30-9:30(週六除外),B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
75,3531017912,板牆區,林儀文婦產科,(02)29696995,,新北市板橋區民權路218號,合約診所,"週一至週五上午9:00-12:00
週一晚上18:30-9:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731
76,3531012024,板牆區,黃世鑫診所,(02)29536051,,新北市板橋區四川路一段143號,合約診所,"週一、週二、週四、週六早上8:40-12:00
週二至週五下午15:00-18:00
週一、週三、週四晚上18:40-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
77,3531013905,板牆區,興安診所,(02)29652683,,新北市板橋區龍興街51號,合約診所,週一至週五上午8:00-12:00、下午2:00-5:30、晚上6:30-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
78,3531019176,板牆區,蔡明志小兒專科診所,(02)82570156,,新北市板橋區雨農路56號,合約診所,"星期一至日上午8:00-12:00、下午15:00-18:00、晚上18:30-21:30
",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
79,1231030015,永和區,天主教耕莘醫療財團法人永和耕莘醫院,(02)29286060,,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,合約診所,"週一至週五下午14：00-16：30
MMR&VAR於週三下午固定接種
◎卡介苗於院內公告時間集中週五接種",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
80,3531033489,永和區,王英傑小兒科診所,(02)29279600,,新北市永和區中山路1段158號,合約診所,週一至週六上午8:30-12:00、下午15:00-18:00、晚上18:30-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
81,3531034342,永和區,御生婦幼診所,(02)29231818,,新北市永和區中山路1段277號1、2樓及275號2、3樓,合約診所,"週一至週六09:00-12:00
◎卡介苗採預約",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731
82,3531031181,永和區,吳銅坤婦產科診所,(02)29271313,,新北市永和區中山路1段35號.31號2．3樓之1,合約診所,接種院內生產嬰幼兒,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731
83,3531034020,永和區,洪碩壎小兒科診所,(02)29461171,,新北市永和區中正路157號1樓,合約診所,"週一至週日上午08:30-12:00、下午15:00~18:00、晚上18:30-21:30
(週四及日午晚休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
84,3531030077,永和區,唐小兒科診所,(02)29296170,,新北市永和區中正路436，438號1，2樓,合約診所,"週一至週六早上7:00-12:00(週六08:00開始)、下午13:00-16:00、晚上17:00-21:30
週日及例假日上午8:00-12:00、晚上17:00-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
85,3531033283,永和區,吳志仁診所,(02)86602338,,新北市永和區仁愛路147號1樓,合約診所,"週一至週五上午8:30-12:00、下午15:00-18:00、晚上18:45-21:30
週六上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
86,3531033470,永和區,楊安診所,(02)22324943,,新北市永和區仁愛路303號1樓,合約診所,"週一至週五上午8:30-12:00、下午17:30-21:30
週六上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
87,3531034244,永和區,永愛診所,(02)29258680,,新北市永和區永平路282之1號1樓及286之1號2樓,合約診所,"週一至週五上午8:20-12:00、下午16:00-18:30、晚上19:00-21:30
週六上午8:20-12:00
週日上午8:20-12:00、下午18:00-21:00
◎卡介苗採預約",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
88,3531031289,永和區,洪源裕小兒科診所,(02)89252926,,新北市永和區竹林路181號1、2樓,合約診所,"週一至週六早上8:00-12:00、下午14:00-18:00、19:00-22:00
週日上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
89,3531033952,永和區,呂適存小兒科診所,(02)89255155,,新北市永和區竹林路51號1樓,合約診所,週一至週五上午9:00-12:00、下午14:30-17:30、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
90,3531032008,永和區,謝璧光小兒科診所,(02)89262388,,新北市永和區竹林路81號1樓,合約診所,"週一至週五上午9:00-11:30、下午17:00-19:30
週六早上9:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
91,3531034413,永和區,惠恩診所,(02)29249333,,新北市永和區保安路212－1號1樓,合約診所,"週一至週六早上8:30-12:00、下午15:00-18:00、晚上18:30-21:30
(週日休假)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
92,3531030264,永和區,蕭正貴小兒家庭醫學科診所,(02)29428333,,新北市永和區得和路198號,合約診所,"上午9:00-12:00、下午18:00-21:00
週三及週五晚上休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
93,3531033907,永和區,王杰凱小兒科診所,(02)29297717,,新北市永和區得和路275號1樓及永元路4號1樓,合約診所,"週一至週六上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30
◎卡介苗為每個月第1及第3週的週三下午13:00-14:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
94,3531031047,永和區,曾怡仁診所,(02)29408626,,新北市永和區得和路340號,合約診所,"週一至週六上午9:00-12:00、下午16:00-21:00(除週六下午15:00-18:00)
週三上午、週六晚上休診及週天全天休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
95,3531033425,永和區,章志平小兒科診所,(02)89219112,,新北市永和區福和路195號,合約診所,週一至週六上午8:30-12:30、下午17:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
96,3531030559,永和區,愛兒小兒科診所,(02)29233317,,新北市永和區福和路199號,合約診所,週一至週六上午9:00-12:00、下午14:00-18:00、晚上19:00-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
97,3531032197,永和區,蕭佩宏小兒科診所,(02)86607115,,新北市永和區福和路258號,合約診所,"週一至週五上午8:30-12:00、下午15:00-18:00、晚上19:00-21:30
週六早上9:00-12:00
(週一下午、週六晚上休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
98,3531034986,永和區,美加婦產科診所,(02)29235133,,新北市永和區福和路278號2－5樓,合約診所,週一至週日24小時,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731
99,3531030513,永和區,鍾婦產科診所,(02)89288899,,新北市永和區福和路84號1－2樓，86號1－3樓,合約診所,週一至週六早上9:00-12:00、下午15:00-17:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731
100,3531034959,永和區,旭恩小兒科診所,(02)29220217,,新北市永和區中山路1段172號1樓,合約診所,週一至週六上午8:30-12:00、下午3:00-6:00、晚上6:30-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
101,431270012,金山區,台大金山分院,(02)24989898,,新北市金山區五湖里玉湖路7號,合約診所,週三下午1:30-5:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
102,3531142894,蘆洲區,許修平小兒科診所,(02)22881202,,新北市蘆洲區長安街290號,合約診所,週一至週日上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
103,3531143382,蘆洲區,愛麗生婦產科診所,(02)22890666,,新北市蘆洲區長榮路323號,合約診所,"週一、週二09:00-12:00
週四14:30-17:50
週五18:30-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
104,3531143140,蘆洲區,愛林鑫北診所,(02)22883277,,新北市蘆洲區長榮路96.98號,合約診所,"週一至週五08:00-12:00、15:00-18:00、18:30-21:30
週六、日8:00-12:00、15:00-18:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
105,3531143159,蘆洲區,湯瑪士親子兒科診所,(02)22885523,,新北市蘆洲區民族路377號,合約診所,"週一至週五08:30-12:00、15:00-18:00、18:30-21:30
週六、日08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
106,3531143444,蘆洲區,兒樂吉診所,(02)22812787,,新北市蘆洲區民族路267號,合約診所,週一至週日08:00-12:00、15:00-18:00、18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
107,3531142858,蘆洲區,宥生婦產科診所,(02)22835758,,新北市蘆洲區三民路13-15號,合約診所,週一~週六09:00-12:00、14:30-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
108,3531143024,蘆洲區,宥宥小兒科診所,(02)22898555,,新北市蘆洲區長榮路175號,合約診所,週一至週六08:30-11:30、15:00-17:30、18:30-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731
109,3531140505,蘆洲區,蘆洲李耳鼻喉科診所,(02)82815488,,新北市蘆洲區中華街63號1樓,合約診所,週一至週日早上8:00至晚上10:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
110,3531143033,蘆洲區,杏東診所,(02)22816090,,新北市蘆洲區中正路9號,合約診所,週一至週六08:30-12:00、15:00-18:00、19:00-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
111,3531142947,蘆洲區,本一診所,(02)22836622,,新北市蘆洲區長榮路43-1號1樓,合約診所,"週一至週四08:30-12:00、15:00-17:30、18:30-21:00
週六、日09:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
112,3531142705,蘆洲區,宥宥婦幼診所,(02)82839090,,新北市蘆洲區長榮路58號,合約診所,"週一至週五上午8:00-12:00、下午14:30-20:30
週六上午8:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
113,3531142545,蘆洲區,長榮耳鼻喉科診所,(02)22823350,,新北市蘆洲區長榮路15號1樓,合約診所,"週一至週六08:30-12:00、15:00-18:00、19:00-22:00
週日08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731
