行政區,醫療院所名稱,地址,聯絡電話
63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-27718151
63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-27642151
63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-27135211
63000010,江崇萍小兒科診所,臺北市松山區南京東路5段251巷24弄27號,02-27632260
63000010,陳炳堅內科診所,臺北市松山區延壽街327號,02-27637199
63000010,車參薇小兒科診所,臺北市松山區八德路三段195號1樓,02-25770101
63000010,心田民生診所,臺北市松山區民生東路5段105號1樓,02-27653039
63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段692號,02-27653147
63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號4號.12號,02-27292539
63000020,黃啟彰診所,臺北市信義區松山路261-1號,02-27696218
63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,02-27601618
63000020,信義邱婦產科診所,臺北市信義區虎林街198號,02-27278275
63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-27372181
63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區信義路五段15號,02-87804152
63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,02-23257500
63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號,02-27390997
63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,02-27713161
63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號 ,02-27018159
63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路4段112巷11號,02-27081166
63000030,夏爾診所,臺北市大安區信義路4段265巷54號,02-23255508
63000030,吳坤光婦產科診所,臺北市大安區信義路4段59號,02-27059321
63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號,02-25013363
63000040,大直佳恩診所,臺北市中山區北安路591號,02-25323301
63000040,大直診所,臺北市中山區北安路595巷2弄2號,02-25332339
63000040,李義男婦產科診所,臺北市中山區中山北路2段71號4樓,02-25361158
63000040,榮星診所,臺北市中山區龍江路272號,02-25168112
63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-25433535
63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-25433535
63000040,永育樂群診所,臺北市中山區樂群二路210之2號,02-85012268
63000040,莊宇龍診所,臺北市中山區北安路637號,02-25331255
63000050,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號1F,02-23210168
63000050,同泰診所,臺北市中正區汀州路2段138號,02-23678511
63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,02-25523234
63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-27093600
63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,02-23889595
63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,02-23916471
63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,02-27861288
63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,02-28353456
63000060,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號,02-25948971
63000060,紘成診所,臺北市大同區長安西路53巷7弄1之1號1樓,02-25492000
63000060,建順診所,臺北市大同區甘州街51號,02-25573250
63000060,羅源彰診所,臺北市大同區長安西路137號,02-25552500
63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號,02-23717101
63000070,聖約翰婦產科診所,臺北市萬華區東園街175號,02-23098502
63000070,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,02-23395383
63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路2段270號,02-23076968
63000070,快樂兒童診所,臺北市萬華區寶興街121號1樓,02-23328610
63000070,漢宗小兒科診所,臺北市萬華區中華路2段434號1樓,02-23039022
63000070,青年診所,臺北市萬華區中華路2段424號,02-23032450
63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路3段111號,02-29307930
63000080,洪佑承小兒專科診所,臺北市文山區興隆路四段64之2號,02-29364708
63000080,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,02-29308518
63000080,徐慧玲診所,臺北市文山區興隆路4段99號,02-22340000
63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,02-82377441
63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,02-22300055
63000080,泓仁診所,臺北市文山區木新路2段273號,02-29382627
63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,02-29339986
63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1F,02-29334933
63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,02-26515960
63000090,李文珍小兒科診所,臺北市南港區研究院路2段74號,02-26511871
63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號,02-27868756
63000090,永育醫療福德診所,臺北市南港區福德街320-2號,02-27850700
63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,02-26308800
63000100,永育醫療大湖診所,臺北市內湖區成功路四段366 號,02-27906002
63000100,佳霖診所,臺北市內湖區東湖路147 號2 樓,02-26334535
63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-27919696
63000100,日新診所,臺北市內湖區成功路五段446號1樓,02-26342743
63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號,02-87972121
63000100,焉醫師診所,臺北市內湖區內湖路二段21號,02-27995008
63000100,高峰診所,臺北市內湖區內湖路二段39號,02-2659-1888
63000100,魏穀年診所,臺北市內湖區內湖路1段403號,02-26572024
63000100,新明診所,臺北市內湖區新明路386號,02-22741127
63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,02-26345500
63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄37號1樓,02-26596360
63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號1F,02-27908387
63000100,誠康診所,臺北市內湖區內湖路1段585號,02-26572585
63000100,瑞康診所,臺北市內湖區江南街96巷3號,02-26599691
63000100,麗康診所,臺北市內湖區金湖路362號,02-26342296
63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,02-87923311
63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號,02-28836268
63000110,愛林診所,臺北市士林區承德路4段222號之1(之2),02-28836881
63000110,張虔熙小兒科診所,臺北市士林區中山北路6段282號,02-28361368
63000110,科安診所,臺北市士林區社中街116號,02-28110699
63000110,樹爸爸親子診所,臺北市士林區德行東路286號,02-28381838
63000110,耀明診所,臺北市士林區中正路322號,02-28320657
63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-28332211
63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號,02-28386090
63000120,李伯匯小兒科診所,臺北市北投區石牌路1段93號,02-28221212
63000120,宏恩兒科診所,臺北市北投區致遠一路2段99號,02-28271110
63000120,張參雄診所,臺北市北投區光明路166-1號,02-28926555
63000120,臺北榮民總醫院,臺北市北投區石牌路2段201號,02-28757576
63000120,昱德聯合診所,臺北市北投區光明路102號,02-28975050
63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,02-28912670
63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,02-28264400
63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-28210501
63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-28587000
