行政區,醫療院所名稱,地址,緯度,經度,聯絡電話,緯度.1,經度.1,district
63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,25.0476829,121.5474831,02-27718151,25.0476829,121.5474831,松山區
63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,25.0544026,121.5576579,02-27642151,25.0544026,121.5576579,松山區
63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,25.0556512,121.5493054,02-27135211,25.0556512,121.5493054,松山區
63000010,江崇萍小兒科診所,臺北市松山區南京東路5段251巷24弄27號,25.0518277,121.5574266,02-27632260,25.0518277,121.5574266,松山區
63000010,陳炳堅內科診所,臺北市松山區延壽街327號,25.056826,121.560329,02-27637199,25.056826,121.560329,松山區
63000010,車參薇小兒科診所,臺北市松山區八德路三段195號1樓,25.0481627,121.5561799,02-25770101,25.0481627,121.5561799,松山區
63000010,心田民生診所,臺北市松山區民生東路5段105號1樓,25.0584343,121.5556082,02-27653039,25.0584343,121.5556082,松山區
63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段692號,25.0497691,121.5772248,02-27653147,25.0497691,121.5772248,松山區
63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號4號.12號,25.0238287,121.5694373,02-27292539,25.0238287,121.5694373,信義區
63000020,黃啟彰診所,臺北市信義區松山路261-1號,25.0438009,121.578016,02-27696218,25.0438009,121.578016,信義區
63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,25.0420132,121.563555,02-27601618,25.0420132,121.563555,信義區
63000020,信義邱婦產科診所,臺北市信義區虎林街198號,25.0383995,121.5768198,02-27278275,25.0383995,121.5768198,信義區
63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,25.0269555,121.563012,02-27372181,25.0269555,121.563012,信義區
63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區信義路五段15號,25.0331899,121.5669236,02-87804152,25.0331899,121.5669236,信義區
63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,25.0364269,121.5547681,02-23257500,25.0364269,121.5547681,大安區
63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號,25.021577,121.544274,02-27390997,25.021577,121.544274,大安區
63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,25.038404,121.546923,02-27713161,25.038404,121.546923,大安區
63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號 ,25.026519,121.5458646,02-27018159,25.026519,121.5458646,大安區
63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路4段112巷11號,25.036515,121.5499289,02-27081166,25.036515,121.5499289,大安區
63000030,夏爾診所,臺北市大安區信義路4段265巷54號,25.0351741,121.555769,02-23255508,25.0351741,121.555769,大安區
63000030,吳坤光婦產科診所,臺北市大安區信義路4段59號,25.0335548,121.5454677,02-27059321,25.0335548,121.5454677,大安區
63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號,25.0643338,121.5336997,02-25013363,25.0643338,121.5336997,中山區
63000040,大直佳恩診所,臺北市中山區北安路591號,25.081959,121.548607,02-25323301,25.081959,121.548607,中山區
63000040,大直診所,臺北市中山區北安路595巷2弄2號,25.0819988,121.5483172,02-25332339,25.0819988,121.5483172,中山區
63000040,李義男婦產科診所,臺北市中山區中山北路2段71號4樓,25.0573612,121.5230844,02-25361158,25.0573612,121.5230844,中山區
63000040,榮星診所,臺北市中山區龍江路272號,25.0606048,121.5406268,02-25168112,25.0606048,121.5406268,中山區
63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-25433535,25.0588457,121.5223977,中山區
63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-25433535,25.0588457,121.5223977,中山區
63000040,永育樂群診所,臺北市中山區樂群二路210之2號,25.079518,121.559291,02-85012268,25.079518,121.559291,中山區
63000040,莊宇龍診所,臺北市中山區北安路637號,25.08373,121.549022,02-25331255,25.08373,121.549022,中山區
63000050,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號1F,25.0304255,121.5159966,02-23210168,25.0304255,121.5159966,中正區
63000050,同泰診所,臺北市中正區汀州路2段138號,25.0243987,121.5209927,02-23678511,25.0243987,121.5209927,中正區
63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,25.0513086,121.5087132,02-25523234,25.0513086,121.5087132,大同區
63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,25.037298,121.5453853,02-27093600,25.037298,121.5453853,大安區
63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,25.0353943,121.5071105,02-23889595,25.0353943,121.5071105,中正區
63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,25.0289947,121.5192885,02-23916471,25.0289947,121.5192885,中正區
63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,25.0465997,121.5861422,02-27861288,25.0465997,121.5861422,南港區
63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,25.1051369,121.5318912,02-28353456,25.1051369,121.5318912,士林區
63000060,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號,25.0656996,121.5162533,02-25948971,25.0656996,121.5162533,大同區
63000060,紘成診所,臺北市大同區長安西路53巷7弄1之1號1樓,25.0515182,121.5176937,02-25492000,25.0515182,121.5176937,大同區
63000060,建順診所,臺北市大同區甘州街51號,25.0596329,121.5128815,02-25573250,25.0596329,121.5128815,大同區
63000060,羅源彰診所,臺北市大同區長安西路137號,25.0514479,121.515086,02-25552500,25.0514479,121.515086,大同區
63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號,25.0421534,121.5026284,02-23717101,25.0421534,121.5026284,萬華區
63000070,聖約翰婦產科診所,臺北市萬華區東園街175號,25.0242278,121.4973673,02-23098502,25.0242278,121.4973673,萬華區
63000070,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,25.0232014,121.4976402,02-23395383,25.0232014,121.4976402,萬華區
63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路2段270號,25.0392644,121.4999928,02-23076968,25.0392644,121.4999928,萬華區
63000070,快樂兒童診所,臺北市萬華區寶興街121號1樓,25.0251946,121.4948419,02-23328610,25.0251946,121.4948419,萬華區
63000070,漢宗小兒科診所,臺北市萬華區中華路2段434號1樓,25.027104,121.5064733,02-23039022,25.027104,121.5064733,萬華區
63000070,青年診所,臺北市萬華區中華路2段424號,25.0275478,121.506136,02-23032450,25.0275478,121.506136,萬華區
63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路3段111號,25.0004801,121.5584967,02-29307930,25.0004801,121.5584967,文山區
63000080,洪佑承小兒專科診所,臺北市文山區興隆路四段64之2號,24.9850885,121.5613216,02-29364708,24.9850885,121.5613216,文山區
63000080,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,25.0017769,121.5535166,02-29308518,25.0017769,121.5535166,文山區
63000080,徐慧玲診所,臺北市文山區興隆路4段99號,24.9882776,121.5604919,02-22340000,24.9882776,121.5604919,文山區
63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,24.9876129,121.5765374,02-82377441,24.9876129,121.5765374,文山區
63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,24.9977567,121.5589315,02-22300055,24.9977567,121.5589315,文山區
63000080,泓仁診所,臺北市文山區木新路2段273號,24.982888,121.566105,02-29382627,24.982888,121.566105,文山區
63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,24.9984458,121.5449358,02-29339986,24.9984458,121.5449358,文山區
63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1F,24.9997064,121.5479708,02-29334933,24.9997064,121.5479708,文山區
63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,25.0439359,121.583312,02-26515960,25.0439359,121.583312,南港區
63000090,李文珍小兒科診所,臺北市南港區研究院路2段74號,25.0455491,121.6151031,02-26511871,25.0455491,121.6151031,南港區
63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號,25.0547158,121.6068266,02-27868756,25.0547158,121.6068266,南港區
63000090,永育醫療福德診所,臺北市南港區福德街320-2號,25.03957,121.588095,02-27850700,25.03957,121.588095,南港區
63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,25.070294,121.618846,02-26308800,25.070294,121.618846,內湖區
63000100,永育醫療大湖診所,臺北市內湖區成功路四段366 號,25.0848303,121.6004361,02-27906002,25.0848303,121.6004361,內湖區
63000100,佳霖診所,臺北市內湖區東湖路147 號2 樓,25.0681719,121.6172215,02-26334535,25.0681719,121.6172215,內湖區
63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,25.082146,121.5907328,02-27919696,25.082146,121.5907328,內湖區
63000100,日新診所,臺北市內湖區成功路五段446號1樓,25.0747932,121.6072004,02-26342743,25.0747932,121.6072004,內湖區
63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號,25.0778823,121.5754083,02-87972121,25.0778823,121.5754083,內湖區
63000100,焉醫師診所,臺北市內湖區內湖路二段21號,25.0788586,121.5795351,02-27995008,25.0788586,121.5795351,內湖區
63000100,高峰診所,臺北市內湖區內湖路二段39號,25.0789689,121.5799027,02-2659-1888,25.0789689,121.5799027,內湖區
63000100,魏穀年診所,臺北市內湖區內湖路1段403號,25.0823089,121.5683655,02-26572024,25.0823089,121.5683655,內湖區
63000100,新明診所,臺北市內湖區新明路386號,25.0548379,121.5803312,02-22741127,25.0548379,121.5803312,內湖區
63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,25.0756867,121.608877,02-26345500,25.0756867,121.608877,內湖區
63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄37號1樓,25.0806835,121.578434,02-26596360,25.0806835,121.578434,內湖區
63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號1F,25.0692307,121.5890989,02-27908387,25.0692307,121.5890989,內湖區
63000100,誠康診所,臺北市內湖區內湖路1段585號,25.0823089,121.5683655,02-26572585,25.0823089,121.5683655,內湖區
63000100,瑞康診所,臺北市內湖區江南街96巷3號,25.0772496,121.5768317,02-26599691,25.0772496,121.5768317,內湖區
63000100,麗康診所,臺北市內湖區金湖路362號,25.0736854,121.6042362,02-26342296,25.0736854,121.6042362,內湖區
63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,25.0733691,121.5959272,02-87923311,25.0733691,121.5959272,內湖區
63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號,25.0928085,121.5197824,02-28836268,25.0928085,121.5197824,士林區
63000110,愛林診所,臺北市士林區承德路4段222號之1(之2),25.0884766,121.5215108,02-28836881,25.0884766,121.5215108,士林區
63000110,張虔熙小兒科診所,臺北市士林區中山北路6段282號,25.1101049,121.5256499,02-28361368,25.1101049,121.5256499,士林區
63000110,科安診所,臺北市士林區社中街116號,25.0898456,121.5104206,02-28110699,25.0898456,121.5104206,士林區
63000110,樹爸爸親子診所,臺北市士林區德行東路286號,25.1099779,121.5360119,02-28381838,25.1099779,121.5360119,士林區
63000110,耀明診所,臺北市士林區中正路322號,25.0947475,121.5225939,02-28320657,25.0947475,121.5225939,士林區
63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,25.0964085,121.520938,02-28332211,25.0964085,121.520938,士林區
63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號,25.0954216,121.5246379,02-28386090,25.0954216,121.5246379,士林區
63000120,李伯匯小兒科診所,臺北市北投區石牌路1段93號,25.1133685,121.510814,02-28221212,25.1133685,121.510814,北投區
63000120,宏恩兒科診所,臺北市北投區致遠一路2段99號,25.1128924,121.5129316,02-28271110,25.1128924,121.5129316,北投區
63000120,張參雄診所,臺北市北投區光明路166-1號,25.1350276,121.5026804,02-28926555,25.1350276,121.5026804,北投區
63000120,臺北榮民總醫院,臺北市北投區石牌路2段201號,25.1208483,121.5227627,02-28757576,25.1208483,121.5227627,北投區
63000120,昱德聯合診所,臺北市北投區光明路102號,25.1330638,121.5012176,02-28975050,25.1330638,121.5012176,北投區
63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,25.1328136,121.5026592,02-28912670,25.1328136,121.5026592,北投區
63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,25.1151759,121.515018,02-28264400,25.1151759,121.515018,北投區
63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,25.1142258,121.5131469,02-28210501,25.1142258,121.5131469,北投區
63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,25.1206037,121.4661496,02-28587000,25.1206037,121.4661496,北投區
