序號,行政區,院所名稱,地址,電話,語音預約
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,(02)27135211,
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,(02)27718151,
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,(02)27653147,
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,
7,松山區,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,(02)87729068,
8,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,(02)77287688,
9,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
10,松山區,佑家診所,臺北市松山區八德路三段233號,(02)25785658,
11,松山區,吳慶南內科診所,臺北市松山區民生東路五段138號,(02)27659566,
12,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,(02)25770101,
13,松山區,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,(02)27689577,
14,松山區,邱楠超診所,臺北市松山區延吉街20號1樓,(02)25702296,
15,松山區,宥全診所,臺北市松山區民生東路五段216號1樓,(02)27678225,
16,松山區,陳炳堅內科診所,臺北市松山區延壽街327號,(02)27637199,
17,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,(02)25779898,
18,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,(02)27603922,
19,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,(02)27420552,
20,松山區,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,(02)87728086,
21,松山區,畇力診所,臺北市松山區富錦街512號1樓,(02)27659022,
22,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,(02)27653039,
23,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,(02)27128875,
24,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181,
25,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,(02)87804152,
26,信義區,明輝診所,臺北市信義區松隆路282-3號,(02)87871235,
27,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,(02)87808580,
28,信義區,松禾診所,臺北市信義區松山路130號3樓,(02)27666738,
29,信義區,林應然小兒科診所,臺北市信義區福德街75號,(02)27595328,
30,信義區,長風小兒科診所,臺北市信義區莊敬路351號,(02)27227943,
31,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,(02)27278275,
32,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,(02)27296611,
33,信義區,登瑞安診所,臺北市信義區林口街232號,(02)27265228,
34,信義區,黃啟彰診所,臺北市信義區松山路261-1號,(02)27696218,
35,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,(02)27265025,
36,信義區,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,(02)27601618,
37,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,(02)27082121,
38,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,(02)27093600,
39,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,(02)27081166,
40,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,(02)27390997,
41,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,(02)23784380,
42,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,(02)23698833,
43,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,(02)23690211,
44,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,(02)27065995,
45,大安區,安東診所,臺北市大安區和平東路二段229號,(02)27088995,
46,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,(02)27059320,
47,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,(02)27000708,
48,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,(02)27018159,
49,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,(02)27068208,
50,大安區,那明珠診所,臺北市大安區和平東路三段8號,(02)27360589,
51,大安區,松德診所,臺北市大安區四維路170巷16號1樓,(02)27073326,
52,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,(02)27315568,
53,大安區,邱醫師診所,臺北市大安區和平東路三段288號,(02)27392696,
54,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,(02)23255508,
55,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,(02)27211258,
56,大安區,健華診所,臺北市大安區和平東路二段299號,(02)27072990,
57,大安區,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,(02)33662156,
58,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,(02)23629088,
59,大安區,博全婦產科診所,臺北市大安區大安路一段18號,(02)27774427,
60,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,(02)23567066,
61,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,(02)27313305,
62,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,(02)55998330,
63,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,(02)23691688,
64,大安區,劉建宏診所,臺北市大安區大安路二段139號,(02)27002368,
65,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,(02)27096199,
66,大安區,東風診所,臺北市大安區忠孝東路四段132號4樓,(02)27775868,
67,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,(02)27751301,
68,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,(02)23682333,
69,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,(02)25433535,
70,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,(02)25433535,
71,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,(02)25072222,
72,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,(02)25013363,
73,中山區,大直佳恩診所,臺北市中山區北安路591號,(02)25323301,
74,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,(02)25332339,
75,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,(02)25012312,
76,中山區,北安聯合診所,臺北市中山區北安路569-3號,(02)25337777,
77,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,(02)25677310,
78,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,(02)25052293,
79,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,(02)85012268,
80,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,(02)25013109,
81,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,(02)25323036,
82,中山區,高固廉診所,臺北市中山區北安路613號,(02)25323036,
83,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,(02)25323036,
84,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,(02)25331255,
85,中山區,陳世澤內科診所,臺北市中山區龍江路284-1號,(02)25011239,
86,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,(02)25221796,
87,中山區,晴光診所,臺北市中山區林森北路556號1樓,(02)25853210,
88,中山區,愛鄰診所,臺北市中山區北安路520-1號,(02)25322333,
89,中山區,農安診所,臺北市中山區農安街62號,(02)25978590,
90,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,(02)25013862,
91,中山區,榮星診所,臺北市中山區龍江路272號,(02)25168112,
92,中山區,德美診所,臺北市中山區北安路596號1樓,(02)25326618,
93,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,(02)25683199,
94,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,(02)25512246,
95,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,(02)25152433,
96,中山區,龍江固廉診所,臺北市中山區龍江路360號,(02)25170093,
97,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,(02)25222350,
98,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,(02)25935559,
99,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,(02)27711501,
100,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,(02)23889595,
101,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,(02)23916470,
102,中正區,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,"(02)23123456
",(02)23567890
103,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,(02)23210168,
104,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,(02)23612323,
105,中正區,周正成小兒科診所,臺北市中正區徐州路24號,(02)23516830,
106,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,(02)23818766,
107,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,(02)23961008,
108,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,(02)23648085,
109,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234,
110,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,(02)25948971,
111,大同區,建順診所,臺北市大同區甘州街51號1樓,(02)25573250,
112,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,(02)25941935,
113,大同區,鈞生診所,臺北市大同區甘州街28號,(02)25570048,
114,大同區,寧夏診所,臺北市大同區民生西路236號1樓,(02)25586060,
115,大同區,澤康診所,臺北市大同區重慶北路三段71號,(02)25960922,
116,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,(02)25921666,
117,大同區,羅源彰診所,臺北市大同區長安西路137號,(02)25552500,
118,大同區,悅昇診所,臺北市大同區錦西街50-1號,(02)25502664,
119,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,(02)23717101,
120,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,(02)23076968,
121,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,(02)23395383,
122,萬華區,可為診所,臺北市萬華區青年路24號1樓,(02)23370111,
123,萬華區,光耳鼻喉科診所,臺北市萬華區青年路90號,(02)23077565,
124,萬華區,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,(02)23036513,
125,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,(02)23328610,
126,萬華區,佳安診所,臺北市萬華區青年路34號,(02)23320898,
127,萬華區,青年診所,臺北市萬華區中華路二段424號,(02)23032450,
128,萬華區,益銓診所,臺北市萬華區萬大路233號,(02)23331323,
129,萬華區,健安診所,臺北市萬華區萬大路432號1樓,(02)23012255,
130,萬華區,聖約翰婦產科診所,臺北市萬華區東園街175號,(02)23098502,
131,萬華區,漢宗小兒科診所,臺北市萬華區中華路二段434號,(02)23039022,
132,文山區,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,
133,文山區,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,(02)82377441,
134,文山區,仁荔健康診所,臺北市文山區興隆路一段258號1樓,(02)29339986,
135,文山區,仁耀診所,臺北市文山區興隆路一段273號,(02)29317788,
136,文山區,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,(02)29333096,
137,文山區,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,(02)29308518,
138,文山區,東翰診所,臺北市文山區興隆路二段139號,(02)29308330,
139,文山區,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,(02)29334933,
140,文山區,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,(02)29364708,
141,文山區,徐慧玲診所,臺北市文山區興隆路四段97號,(02)22340000,
142,文山區,順欣診所,臺北市文山區木柵路三段112號,(02)29391011,
143,文山區,黃偉志小兒科診所,臺北市文山區萬慶街12號,(02)29354556,
144,文山區,瑞萱診所,臺北市文山區景華街124號,(02)29305313,
145,文山區,葉洪小兒科診所,臺北市文山區興隆路三段202號,(02)22300055,
146,文山區,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,(02)29395299,
147,文山區,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,(02)22340158,
148,文山區,震杰小兒科診所,臺北市文山區景興路129號,(02)89351869,
149,文山區,興隆內科小兒科診所,臺北市文山區興隆路二段17號,(02)29311736,
150,文山區,興隆李內兒科診所,臺北市文山區興隆路一段12號,(02)29314537,
151,南港區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,(02)27861288,
152,南港區,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,(02)27868756,
153,南港區,中坡耳鼻喉科診所,臺北市南港區中坡南路29號,(02)27850329,
154,南港區,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,(02)27853913,
155,南港區,天仁小兒科診所,臺北市南港區成福路21號,(02)27862687,
156,南港區,天仁健康診所,臺北市南港區成福路21號,(02)27862687,
157,南港區,永育醫療福德診所,臺北市南港區福德街320號,(02)27850700,
158,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,(02)26511871,
159,南港區,杏安診所,臺北市南港區同德路74、76號1樓,(02)27892008,
160,南港區,松展診所,臺北市南港區忠孝東路六段110巷18號,(02)27631373,
161,南港區,陳志鑫診所,臺北市南港區八德路四段812號,(02)27839698,
162,南港區,陳勝吉診所,臺北市南港區研究院路一段115號1樓,(02)27836972,
163,南港區,義仁兒科診所,臺北市南港區玉成街138號1樓,(02)26515929,
164,南港區,維康診所,臺北市南港區研究院路二段84巷1號1樓,(02)26517748,
165,南港區,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,(02)26513761,
166,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,(02)87923311,
167,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,(02)27919696,
168,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,
169,內湖區,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,(02)27908387,
170,內湖區,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,(02)55713333,
171,內湖區,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,(02)26596360,
172,內湖區,日新診所,臺北市內湖區成功路五段446號1樓,(02)26342743,
173,內湖區,王慶森診所,臺北市內湖區港墘路65號,(02)27986052,
174,內湖區,永育醫療大湖診所,臺北市內湖區成功路四段366號,(02)27906002,
175,內湖區,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,(02)55713333,
176,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,(02)27935940,
177,內湖區,林永正診所,臺北市內湖區康樂街130號,(02)26315567,
178,內湖區,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,(02)87920955,
179,內湖區,林登山耳鼻喉科診所,臺北市內湖區文德路96號,(02)26596638,
180,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,(02)26560801,
181,內湖區,馬思特診所,臺北市內湖區成功路四段53號1樓,(02)27925994,
182,內湖區,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,(02)87972121,
183,內湖區,康育診所,臺北市內湖區成功路三段189號2樓,(02)27909134,
184,內湖區,康樂診所,臺北市內湖區康樂街80號、82號、84號,(02)26308800,
185,內湖區,焉醫師診所,臺北市內湖區內湖路二段21號,(02)27995008,
186,內湖區,連安診所,臺北市內湖區內湖路一段619號1樓,(02)26276705,
187,內湖區,湖欣診所,臺北市內湖區成功路四段327號,(02)27918350,
188,內湖區,陽光活力診所,臺北市內湖區瑞光路500號1樓,(02)87973828,
189,內湖區,新明診所,臺北市內湖區新明路386號,(02)87921282,
190,內湖區,劉淦華診所,臺北市內湖區金龍路43號,(02)27905374,
191,內湖區,雙湖診所,臺北市內湖區金龍路49號,(02)27910066,
192,內湖區,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,(02)26306968,
193,內湖區,魏穀年診所,臺北市內湖區內湖路一段403號,(02)26572691,
194,內湖區,佳霖診所,臺北市內湖區東湖路147號2樓,(02)26334535,
195,內湖區,高峰診所,臺北市內湖區內湖路二段39號1樓,(02)26591888,
196,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,(02)28332211,
197,士林區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,(02)28353456,
198,士林區,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,(02)28836268,
199,士林區,士林小兒科診所,臺北市士林區中正路249號,(02)28812485,
200,士林區,小禾馨士林小兒專科診所,臺北市士林區中正路289號,(02)28827333,
201,士林區,存德小兒科診所,臺北市士林區文林路460號,(02)28342567,
202,士林區,何小兒科診所,臺北市士林區福港街176號,(02)28827401,
203,士林區,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,(02)28729980,
204,士林區,佩佩婦幼診所,臺北市士林區中山北路六段182號,(02)28386262,
205,士林區,和謙耳鼻喉科診所,臺北市士林區社中街362號,(02)28165678,
206,士林區,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,(02)88661176,
207,士林區,林博通醫師診所,臺北市士林區通河街60號,(02)28851148,
208,士林區,邱世昌診所,臺北市士林區文林路718號,(02)28328088,
209,士林區,科安診所,臺北市士林區社中街116號,(02)28110699,
210,士林區,張虔熙小兒科診所,臺北市士林區中山北路六段282號,(02)28361368,
211,士林區,愛林診所,臺北市士林區承德路四段222號,(02)28836881,
212,士林區,粱耳鼻喉科診所,臺北市士林區社正路12之1號,(02)28168456,
213,士林區,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,(02)28123595,
214,士林區,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,(02)28316878,
215,士林區,樹爸爸親子診所,臺北市士林區德行東路286號,(02)28381838,
216,士林區,橙光耳鼻喉科診所,臺北市士林區大南路286號,(02)28883222,
217,士林區,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,(02)28126415,
218,士林區,耀明診所,臺北市士林區中正路322號,(02)28320657,
219,士林區,蘇慧卿診所,臺北市士林區大南路274號,(02)28829955,
220,士林區,永捷診所,臺北市士林區社子街67號1樓,(02)28111472,
221,北投區,臺北榮民總醫院,臺北市北投區石牌路二段201號,(02)28712121,
222,北投區,振興醫療財團法人振興醫院,臺北市北投區振興路45號,(02)28264400,
223,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,(02)28587000,
224,北投區,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,(02)28912670,
225,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,(02)28210501,
226,北投區,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,(02)28206886,
227,北投區,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,(02)28271110,
228,北投區,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,(02)28221212,
229,北投區,和勤診所,臺北市北投區中央北路四段543號1樓,(02)28942339,
230,北投區,昱德聯合診所,臺北市北投區光明路102號1樓,(02)28975050,
231,北投區,張晉豪診所,臺北市北投區中央南路一段155號,(02)28913820,
232,北投區,清田婦產科家醫科診所,臺北市北投區中和街268號,(02)28931323,
233,北投區,陳信方小兒科診所,臺北市北投區明德路106號,(02)28201068,
234,北投區,陳柏宏親子診所,臺北市北投區明德路124號,(02)28225257,
235,北投區,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,(02)28928950,
236,北投區,黃正宏診所,臺北市北投區西安街一段359號,(02)28217076,
237,北投區,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,(02)28983256,
238,北投區,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,(02)28978787,
239,北投區,蔡秉勳小兒科診所,臺北市北投區中和街281號,(02)28966525,
240,北投區,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,(02)28200022,
